item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,sourceDate,psid
Q47490049,Irene Muthoni Kasalu,Q5251223,WDM-K,Q1722597,Kitui County,2017-08-31,,,Q47490049-2D8789B2-6323-400F-84D5-98F04FD71EBA
Q47493910,Isaac Waihenya Ndirangu,Q27963537,Jubilee Party of Kenya,Q47462592,Roysambu Constituency,2017-08-31,,,Q47493910-EE465459-04C9-4A97-88C5-9ED996BEF3F6
Q111179991,Jacquiline Adhiambo Oduol,Q1640905,ODM,,,2017-08-31,,,Q111179991-C4F6AB7B-83E2-4635-BD23-5E33E9846ACE
Q47495122,James Gichuhi Mwangi,Q27963537,Jubilee Party of Kenya,Q7706991,Tetu Constituency,2017-08-31,,,Q47495122-7313DE7F-B0AD-4F0C-9C2E-4344201756CC
Q47494909,James Gichuki Mugambi,Q27963537,Jubilee Party of Kenya,Q7108562,Othaya Constituency,2017-08-31,,,Q47494909-44212C27-BC93-4F05-B97C-DFA16A732864
Q47494335,James Githua Kamau Wamacukuru,Q27963537,Jubilee Party of Kenya,Q17088410,Kabete Constituency,2017-08-31,,,Q47494335-692AD064-8688-42BE-B456-B45BF96427B8
Q47494393,James Kipkosgei Murgor,Q27963537,Jubilee Party of Kenya,Q6385295,Keiyo North Constituency,2017-08-31,,,Q47494393-99A991BC-B062-40F4-AC66-10D27288D1A2
Q47493944,James Lusweti Mukwe,Q5473121,Forum for the Restoration of Democracy – Kenya,Q47463464,Kabuchai Constituency,2017-08-31,,,Q47493944-57CE54DA-5030-4066-B8E6-D4B0B9CA992B
Q47493951,James Mwangi Gakuya,Q27963537,Jubilee Party of Kenya,Q47463494,Embakasi North Constituency,2017-08-31,,,Q47493951-04010A56-F9F2-4B75-AFDA-FA451BD22870
Q47494809,James Onyango Oyoo,Q1640905,ODM,Q13651057,Muhoroni Constituency,2017-08-31,,2022-04-06,Q47494809-36882804-A1EB-4EAF-AC5C-F5B8326EDCF0
Q47495169,James Opiyo Wandayi,Q1640905,ODM,Q47463471,Ugunja Constituency,2017-08-31,,,Q47495169-E752FFA6-73B3-4B88-B1C6-B70DCFDCE8F9
Q47493920,James Wambura Nyikal,Q1640905,ODM,Q47463473,Seme Constituency,2017-08-31,,,Q47493920-8FCD2A68-DD74-4CAB-8B74-4DBF4AF9856C
Q47490033,Jane Jepkorir Kiptoo Chebaibai,Q27963537,Jubilee Party of Kenya,Q15216433,Elgeyo-Marakwet County,2017-08-31,,,Q47490033-58AE6702-FB20-42EE-995A-8C6D90392333
Q47490034,Jane Wanjuki Njiru,Q27963537,Jubilee Party of Kenya,Q1335242,Embu County,2017-08-31,,,Q47490034-524F4B00-9CA6-4866-AE20-637371070F70
Q47495143,Janet Jepkemboi Sitienei,Q327591,IND,Q47463436,Turbo Constituency,2017-08-31,,,Q47495143-C23A974D-30F8-4E36-A5C1-DF07F241EA44
Q47490039,Janet Marania Teyiaa,Q27963537,Jubilee Party of Kenya,Q285072,Kajiado County,2017-08-31,,,Q47490039-3D198D8F-0664-4CE2-BAEF-B2ACB372DB7D
Q47490075,Janet Nangabo Wanyama,Q27963537,Jubilee Party of Kenya,Q1278653,Trans-Nzoia county,2017-08-31,,,Q47490075-5EC3CD86-8FCC-402F-A9B6-CC64628DCE67
Q47490047,Janet Ongera,Q1640905,ODM,Q1743730,Kisii County,2017-08-31,,,Q47490047-4E54D2C8-90EC-4568-9024-344BD3FE7BC3
Q60332280,Japhet Miriti Kareke Mbiuki,Q27963537,Jubilee Party of Kenya,Q47463416,Maara Constituency,2017-08-31,,,Q60332280-E85B8770-D180-494B-9B1C-77B482DD13E4
Q47494212,Japheth Kiplangat Mutai,Q27963537,Jubilee Party of Kenya,Q4998466,Bureti Constituency,2017-08-31,,,Q47494212-28163FAD-FA83-4649-8D60-BFC899357A5B
Q47494876,Jared Odoyo Okelo,Q1640905,ODM,Q7070870,Nyando Constituency,2017-08-31,,,Q47494876-C7918410-67E9-4E2C-8B6B-037BE4C69C74
Q47494842,Jayne Njeri Wanjiru Kihara,Q27963537,Jubilee Party of Kenya,Q6959832,Naivasha Constituency,2017-08-31,,,Q47494842-094ED302-E2EE-4E2B-BA0A-4E6141E98753
Q111179987,Jennifer Shamalla,Q27963537,Jubilee Party of Kenya,,,2017-08-31,,,Q111179987-F024185B-A83A-435C-BBFC-7A7B9682F5E1
Q47494679,Jeremiah Ekamais Lomorukai,Q1640905,ODM,Q47463429,Loima Constituency,2017-08-31,,,Q47494679-A687E86B-4873-479D-8816-86A524C0CD50
Q6180925,Jeremiah Ng’ayu Kioni,Q27963537,Jubilee Party of Kenya,Q6983699,Ndaragwa Constituency,2017-08-31,,2022-04-06,Q6180925-ED438757-FF78-45B8-A057-CDECD57701DD
Q47494270,Jeremiah Omboko Milemba,Q47489380,Amani National Congress,Q5374869,Emuhaya Constituency,2017-08-31,,,Q47494270-55BCD980-6020-4BC7-834B-261E3169B0AD
Q47490065,Jerusha Mongina Momanyi,Q27963537,Jubilee Party of Kenya,Q1569613,Nyamira county,2017-08-31,,,Q47490065-07C155D4-6113-4B41-80A9-33095105CE16
Q47494415,Jessica Nduku Kiko Mbalu,Q5251223,WDM-K,Q47463423,Kibwezi East Constituency,2017-08-31,,,Q47494415-6EB37A28-CA8C-410E-BDC1-33E974D8F0C4
Q47494517,Jimmy Nuru Ondieki Angwenyi,Q27963537,Jubilee Party of Kenya,Q47463487,Kitutu Chache North Constituency,2017-08-31,,,Q47494517-8587368E-223F-4FE9-B4CC-FC6E09E3C470
Q47494868,Joash Nyamache Nyamoko,Q27963537,Jubilee Party of Kenya,Q7056156,North Mugirango Constituency,2017-08-31,,,Q47494868-B9AE21AB-44CE-4675-8420-7705CC9F165A
Q47493962,Johana Ngeno Kipyegon,Q1422517,KANU,Q19461591,Emurua Dikirr Constituency,2017-08-31,,,Q47493962-E567355A-1365-46A9-95E6-1B90277F94FF
Q47495137,John Kanyuithia Mutunga,Q27963537,Jubilee Party of Kenya,Q7801319,Tigania West Constituency,2017-08-31,,,Q47495137-50A0A9B4-9024-433E-B222-4BC64EE10DEE
Q47494245,John Kiarie Waweru,Q27963537,Jubilee Party of Kenya,Q5208646,Dagoretti South Constituency,2017-08-31,,,Q47494245-A5A261CA-30FF-43B2-B4F0-2BB6B624EF64
Q47495147,John Lodepe Nakara,Q1640905,ODM,Q17099533,Turkana Central Constituency,2017-08-31,,,Q47495147-6A8681C8-93A1-45CA-897B-FDDE1FFC5665
Q47494735,John Muchiri Nyaga,Q27963537,Jubilee Party of Kenya,Q6753394,Manyatta Constituency,2017-08-31,,,Q47494735-18B0A664-F892-4C53-A729-4337FCB0DD2E
Q47494473,John Munene Wambugu,Q27963537,Jubilee Party of Kenya,Q6415320,Kirinyaga Central Constituency,2017-08-31,,,Q47494473-348DAEF6-9443-4BC8-8681-0AE8A2B66626
Q111190431,John Njuguna Wanjiku,,,Q6403727,Kiambaa Constituency,2021,,,Q111190431-663B554B-8923-4651-B0A3-332304BBEBFA
Q6251185,John Olago Aluoch,Q5473121,Forum for the Restoration of Democracy – Kenya,Q6417350,Kisumu Town West Constituency,2017-08-31,,,Q6251185-0CCEB4DD-60E1-4AAC-82CB-71E7ACDE6C0B
Q47494200,John Oroo Oyioka,Q22666200,Peoples Democratic Party,Q4941238,Bonchari Constituency,2017-08-31,,,Q47494200-DC825B9E-E958-4C3B-B2C8-53B6787AE50D
Q47493990,John Owino,Q1640905,ODM,Q47463477,Awendo Constituency,2017-08-31,,2022-04-06,Q47493990-B31D11A9-3605-4575-BF5C-37C175A94642
Q47494319,John Paul Mwirigi,Q327591,IND,Q5991645,Igembe South Constituency,2017-08-31,,,Q47494319-2854F841-3F0A-4FF4-9C99-4202EA525DD6
Q47495024,John Waluke Koyi,Q27963537,Jubilee Party of Kenya,Q7530345,Sirisia Constituency,2017-08-31,,,Q47495024-C67A63DD-DB5F-4143-87FB-48969BB45B44
Q47494819,Johnson Manya Naicca,Q1640905,ODM,Q47463461,Mumias West Constituency,2017-08-31,,,Q47494819-C5767890-D912-4212-9CC7-3AB42CE7C973
Q47494658,Jonah Mburu Mwangi,Q27963537,Jubilee Party of Kenya,Q6489334,Lari Constituency,2017-08-31,,,Q47494658-774E83BA-128A-4B50-AB26-3181E0DBCB64
Q47495180,Jones Mwagogo Mlolwa,Q1640905,ODM,Q7939444,Voi Constituency,2017-08-31,,,Q47495180-A0459650-4DF7-4DE0-B1DC-19343FBC85DE
Q47494219,Joseph H. Maero Oyula,Q1640905,ODM,Q5003161,Butula Constituency,2017-08-31,,2022-04-06,Q47494219-C0EBA0CA-38DD-430A-B638-37C137402CA7
Q47494298,Joseph Nduati Ngugi,Q27963537,Jubilee Party of Kenya,Q5526949,Gatanga Constituency,2017-08-31,,,Q47494298-75C15245-C352-4519-A092-E9AA6940589B
Q47494560,Joseph Tonui Kipkosgei,Q27963537,Jubilee Party of Kenya,Q47463448,Kuresoi South Constituency,2017-08-31,,2022-04-06,Q47494560-2BBA9B15-7BF0-437F-A178-9890F04DBAA1
Q47494350,Joseph Wathigo Manje,Q27963537,Jubilee Party of Kenya,Q6348987,Kajiado North Constituency,2017-08-31,,,Q47494350-0A5296D2-8BBA-48C8-ABB6-503E8D61E736
Q47494996,Josephine Naisula Lesuuda,Q1422517,KANU,Q7409120,Samburu West Constituency,2017-08-31,,,Q47494996-F23E34CC-07CE-4347-B1C1-CFBC467BABB1
Q47494872,Joshua Aduma Owuor,Q1640905,ODM,Q7070809,Nyakach Constituency,2017-08-31,,,Q47494872-F32990A2-3341-4F3B-A4D2-05DB96372AD9
Q47494001,Joshua Chepyegon Kandie,Q47489396,Maendeleo Chap Chap Party,Q4860772,Baringo Central Constituency,2017-08-31,,,Q47494001-120839E1-F627-42CE-84F4-A1BF6E3F0A05
Q47494341,Joshua Kivinda Kimilu,Q5251223,WDM-K,Q6348628,Kaiti Constituency,2017-08-31,,,Q47494341-3260F69B-4773-40F0-A312-B0921A145FC5
Q6289987,Joshua Kutuny Serem,Q27963537,Jubilee Party of Kenya,Q5091828,Cherangany Constituency,2017-08-31,,2022-04-06,Q6289987-B9337E4D-E96A-4B6E-83C1-DC5DE128FEB0
Q47494753,Joshua Mbithi Mwalyo,Q5251223,WDM-K,Q6783288,Masinga Constituency,2017-08-31,,,Q47494753-E806739A-A99A-482E-B650-0CFC4E364836
Q47495134,Josphat Gichunge Mwirabua Kabeabea,Q2559675,PNU,Q7801321,Tigania East Constituency,2017-08-31,,,Q47495134-81C6FFE9-2E08-4587-BF2C-A410ADA49D70
Q47494828,Josphat Kabinga Wachira,Q27963537,Jubilee Party of Kenya,Q6944711,Mwea Constituency,2017-08-31,,,Q47494828-6C77DE7E-E295-426E-BB89-5C257A9720D7
Q47490076,Joyce Emanikor,Q27963537,Jubilee Party of Kenya,Q1633078,Turkana County,2017-08-31,,2022-04-06,Q47490076-B67CC58D-7D88-46DD-A876-E2F2E26E7ECA
Q47490053,Joyce Kamene,Q5251223,WDM-K,Q1882639,Machakos County,2017-08-31,,,Q47490053-C8921858-5D97-4224-A4BA-92A20E796B0F
Q47490021,Joyce Korir Chepkoech,Q27963537,Jubilee Party of Kenya,Q891952,Bomet County,2017-08-31,,2022-04-06,Q47490021-3616B8B2-BC09-4E11-B084-D052E87023CB
Q47494407,Jude L. Kangethe Njomo,Q27963537,Jubilee Party of Kenya,Q47463427,Kiambu Constituency,2017-08-31,,2022-04-06,Q47494407-051CE269-2BF5-41E5-B6D9-932D772D31B2
Q16732461,Julius Kibiwott Melly,Q27963537,Jubilee Party of Kenya,Q7808048,Tinderet Constituency,2017-08-31,,,Q16732461-F10F006D-ABB5-4B05-AEDB-A2A3F073F5FA
Q47494260,Julius Musili Mawathe,Q5251223,WDM-K,Q47463492,Embakasi South Constituency,2017-08-31,,,Q47494260-68EA35FC-795E-4C9F-B4F9-3D6F81A54DFB
Q47495084,Junet Sheikh Nuh,Q1640905,ODM,Q47463479,Suna East Constituency,2017-08-31,,,Q47495084-2073059E-D555-4376-98B6-5B09FDA8EA5F
Q47494999,Justus Gesito Mugali M'MBAYA,Q1640905,ODM,Q7497839,Shinyalu Constituency,2017-08-31,,2022-04-06,Q47494999-37C1559B-413A-4C63-9559-729B53649763
Q47494768,Justus Murunga Makokha,Q47489380,Amani National Congress,Q17089719,Matungu Constituency,2017-08-31,,,Q47494768-CE71F04E-6C45-4A60-A07F-EE0D7DE244C1
Q47494960,KAJWANG' TOM JOSEPH FRANCIS,Q1640905,ODM,Q24236499,Ruaraka Constituency,2017-08-31,,2022-04-06,Q47494960-ECFEF068-A429-4C61-A493-734FD5608243
Q47493946,Kassim Sawa Tandaza,Q47489380,Amani National Congress,Q6791957,Matuga Constituency,2017-08-31,,,Q47493946-C8F05BE3-2B98-4B31-9321-788C7F805165
Q47495046,Kathuri Murungi,Q327591,IND,Q7567524,South Imenti Constituency,2017-08-31,,,Q47495046-51508444-8981-4CA7-84CC-ED117A1A4EE5
Q47494354,Katoo Judah KATOO,Q27963537,Jubilee Party of Kenya,Q6348985,Kajiado South Constituency,2017-08-31,,2022-04-06,Q47494354-75FABA6C-E0D1-45FA-A783-1BEF55DB6ECD
Q47490058,Kawira Mwangaza,Q327591,IND,Q15045704,Meru County,2017-08-31,,,Q47490058-66AAF643-62C6-4C14-95A3-61CC910FB8F1
Q47494410,Kenneth Odhiambo Okoth,Q1640905,ODM,Q22080473,Kibra Constituency,2017-08-31,,,Q47494410-8C447729-42E6-4AB1-AA36-94003B7C45A4
Q18388019,Khatib Abdallah Mwashetani,Q27963537,Jubilee Party of Kenya,Q47463406,Lunga Lunga Constituency,2017-08-31,,2022-04-06,Q18388019-172FEBE2-1B58-44D2-B8C9-C7B2194217B9
Q47494946,Kipruto Moi,Q1422517,KANU,Q7365616,Rongai Constituency,2017-08-31,,,Q47494946-D5ADA747-21B1-4FD8-9D2B-1CC79A532BAF
Q47495017,Kipsengeret Koros,Q327591,IND,Q39087469,Sigowet–Soin Constituency,2017-08-31,,2022-04-06,Q47495017-1673AA6C-9C20-4A22-A391-1FB0975ECEE2
Q47494470,Kirui Joseph Limo,Q27963537,Jubilee Party of Kenya,Q22080475,Kipkelion East Constituency,2017-08-31,,,Q47494470-EA697074-AD74-4CD8-A3F9-BA24C5ECC91B
Q47489064,Kulow Maalim Hassan,Q42954840,Economic Freedom Party,Q47463413,Banissa Constituency,2017-08-31,,,Q47489064-D9956A94-F391-48BE-A83A-C15540051DF7
Q47494853,Lemanken Aramat,Q27963537,Jubilee Party of Kenya,Q24236157,Narok East Constituency,2017-08-31,,,Q47494853-9A603DB6-13EE-43C4-A73E-216B54592E44
Q47494981,Lentoi Joni L. Jackson Lekumontare,Q1422517,KANU,Q7409117,Samburu East Constituency,2017-08-31,,2022-04-06,Q47494981-31999C28-3D10-49C2-BC1F-5ED06CDCFD26
Q47494932,Lilian Achieng Gogo,Q1640905,ODM,Q7292934,Rangwe Constituency,2017-08-31,,,Q47494932-CEEF51C4-1437-4F6A-8AF9-C8D2CC1106B3
Q47490080,Lilian Tomitom,Q27963537,Jubilee Party of Kenya,Q590860,West Pokot County,2017-08-31,,2022-04-06,Q47490080-7A88AEB5-896A-4CA1-AC99-A3F6FAB2519D
Q47495152,Lokiru Ali Mohammed,Q1640905,ODM,Q47463430,Turkana East Constituency,2017-08-31,,,Q47495152-9D8410C6-FC2B-4789-8937-F0C5D3BF2779
Q47490072,Lydia Haika Mnene Mizighi,Q27963537,Jubilee Party of Kenya,Q7193788,Taita–Taveta County,2017-08-31,,,Q47490072-4315C2FD-4CEF-4C2F-905A-ECE2AD3304F2
Q111179989,Maina Kamanda,Q27963537,Jubilee Party of Kenya,,,2017-08-31,,,Q111179989-472DECC6-9A37-4F09-AA71-ACDCE199B62B
Q47490069,Maison Leshoomo,Q1422517,KANU,Q2096419,Samburu County,2017-08-31,,,Q47490069-06460593-1A5C-4EFF-A5F4-3FBE9A8D82F1
Q16214164,Maitu Sabina Wanjiru Chege,Q27963537,Jubilee Party of Kenya,Q1781723,Muranga County,2017-08-31,,2022-04-06,Q16214164-D75CE42F-6BB5-426D-9A3B-039A413C7559
Q47494339,Mark Lomunokol,Q7141057,Party of Development and Reforms,Q6344643,Kacheliba Constituency,2017-08-31,,,Q47494339-195E1BB7-0A52-49E8-B48D-83A2411E6398
Q47495175,Mark Ogolla Nyamita,Q1640905,ODM,Q7900644,Uriri Constituency,2017-08-31,,,Q47495175-81DBE4E3-5D43-434D-A1FA-E820E6E3586C
Q47494642,Marselino Malimo ARBALLE,Q27963537,Jubilee Party of Kenya,Q6474135,Laisamis Constituency,2017-08-31,,2022-04-06,Q47494642-EAB6CDF2-233A-4A57-B2EC-D5683EC3023E
Q47494309,Martha Wangari Wanjira,Q27963537,Jubilee Party of Kenya,Q47463447,Gilgil Constituency,2017-08-31,,,Q47494309-7783862C-ED32-46CD-B507-048B85783857
Q47494899,Martin Deric Ngunjiri Wambugu,Q27963537,Jubilee Party of Kenya,Q7071069,Nyeri Town Constituency,2017-08-31,,,Q47494899-57FB9282-546F-434D-925D-548D9BED5F1F
Q47494862,Martin Peters Owino,Q1640905,ODM,Q6983737,Ndhiwa Constituency,2017-08-31,,,Q47494862-52300CA2-7C5A-4A47-A762-A181C7F911DD
Q47494590,Marwa Kemero Maisori Kitayama,Q27963537,Jubilee Party of Kenya,Q47463483,Kuria East Constituency,2017-08-31,,,Q47494590-7EF92A33-1931-4A27-BF3F-55853B248949
Q47494738,Mary Wamaua Waithira Njoroge,Q27963537,Jubilee Party of Kenya,Q6754641,Maragua Constituency,2017-08-31,,,Q47494738-8D174430-4C95-4E7D-9A6A-FE72234E0190
Q47493958,Mathenge James Kanini Kega,Q27963537,Jubilee Party of Kenya,Q6405311,Kieni Constituency,2017-08-31,,,Q47493958-BD36C597-5745-4FA4-B80F-333CE1756F22
Q47494619,Mathias Nyamabe Robi,Q27963537,Jubilee Party of Kenya,Q47463481,Kuria West Constituency,2017-08-31,,,Q47494619-75C14078-1BCB-4096-9AA5-BF53A2AAAB33
Q6799567,Mbadi John Ng'ongo,Q1640905,ODM,Q47462489,Suba South Constituency,2017-08-31,,,Q6799567-D55B6757-E5C5-449E-AFE3-14C3EF3EB24D
Q47494386,Mercy Wanjiku Gakuya,Q27963537,Jubilee Party of Kenya,Q6374034,Kasarani Constituency,2017-08-31,,,Q47494386-6092ADA9-AE14-4BF6-AD8B-DE6A03B0DCE7
Q47489037,Michael Mwangi Muchira,Q27963537,Jubilee Party of Kenya,Q47463424,Ol Jorok Constituency,2017-08-31,,,Q47489037-34DA2824-6C26-4B46-ADF0-A248CC700C2A
Q47494697,Michael Thoyah Kingi,Q1640905,ODM,Q6729713,Magarini Constituency,2017-08-31,,,Q47494697-03C31F55-D211-4CF2-B501-FF98FCE9F021
Q47495077,Millie Grace Akoth Odhiambo,Q1640905,ODM,Q6799698,Suba North Constituency,2017-08-31,,,Q47495077-8AF02D28-005B-471A-B3B3-E78C9A667FC8
Q47494192,Miruka Ondieki Alfah,Q6392670,Kenya National Congress,Q47463485,Bomachoge Chache Constituency,2017-08-31,,,Q47494192-4422157F-7FE5-46FD-9F8B-E745524DBAD7
Q47494664,Mishi Juma Khamisi Mboko,Q1640905,ODM,Q6547331,Likoni Constituency,2017-08-31,,,Q47494664-70A4EEA7-2635-45E8-AE44-0BB4E6C7EECA
Q109570540,Mohamed Ali MOHAMMED,Q327591,IND,Q55627148,Nyali Constituency,2017-08-31,,2022-04-06,Q109570540-9AF3DBC7-826F-4E10-96FA-80D4C318B763
Q47494238,Mohamed Dahir Duale,Q1422517,KANU,Q47463410,Dadaab Constituency,2017-08-31,,,Q47494238-3D67E884-2DB3-439B-9C76-CA86C2705874
Q47494633,Mohamed Hire Garane,Q1422517,KANU,Q11034978,Lagdera Constituency,2017-08-31,,,Q47494633-99447A1D-28D3-4C26-AC82-29CDD0075843
Q47495187,Mohamud Sheikh MOHAMED,Q27963537,Jubilee Party of Kenya,Q7960719,Wajir South Constituency,2017-08-31,,2022-04-06,Q47495187-28E6B014-0541-4ED2-B4DD-B8D15C057BB6
Q22278744,Moses Kiarie Kuria,Q27963537,Jubilee Party of Kenya,Q5527549,Gatundu South Constituency,2017-08-31,,2022-04-06,Q22278744-A5C572F9-EE12-43E7-A641-A11BB1143D06
Q47494557,Moses Kipkemboi Cheboi,Q27963537,Jubilee Party of Kenya,Q47463449,Kuresoi North Constituency,2017-08-31,,,Q47494557-E38C5082-CDED-4EDE-B66F-C2DF732E41B3
Q16731419,Moses Lessonet,Q27963537,Jubilee Party of Kenya,Q5353892,Eldama Ravine Constituency,2017-08-31,,,Q16731419-C27E52AE-2D0F-4EB2-AC3E-075E7E444B96
Q47494713,Moses Malulu Injendi,Q27963537,Jubilee Party of Kenya,Q6741420,Malava Constituency,2017-08-31,,,Q47494713-699F00F5-873A-41A6-A9E8-CD398A4541A1
Q47494224,Moses Nguchine Kirima,Q27963537,Jubilee Party of Kenya,Q5061241,Central Imenti Constituency,2017-08-31,,,Q47494224-C59BD18F-112B-4D9E-9C5A-1652E293EE3B
Q47494208,Moses Wekesa Mwambu Mabonga,Q327591,IND,Q4997372,Bumula Constituency,2017-08-31,,,Q47494208-49D9963C-89DE-4F72-A3BE-85529E5DECE7
Q47494223,Mugambi Murwithania Rindikiri,Q27963537,Jubilee Party of Kenya,Q24236151,Buuri Constituency,2017-08-31,,,Q47494223-0DC259CE-A75B-44B5-9F85-64F2390A13CD
Q16885582,Naomi Namsi Shaban,Q27963537,Jubilee Party of Kenya,Q7689082,Taveta Constituency,2017-08-31,,2022-04-06,Q16885582-2916E11F-6ACE-48B6-8374-C1D4972B78E5
Q111179990,Nasri Sahal Ibrahim,Q5473121,Forum for the Restoration of Democracy – Kenya,,,2017-08-31,,,Q111179990-F7C0B3CD-42C4-49FB-B6B9-C1F94717CEB7
Q47494007,Nelson Koech,Q27963537,Jubilee Party of Kenya,Q4882701,Belgut Constituency,2017-08-31,,,Q47494007-A8E905FA-FA83-4CAC-980B-DD6E1956D06F
Q47494217,Nicholas Scott Tindi Mwale,Q47489380,Amani National Congress,Q5002502,Butere Constituency,2017-08-31,,,Q47494217-7E18F5D3-C5DE-4762-9340-47862B770EBB
Q47494489,Nimrod Mbithuka Mbai,Q27963537,Jubilee Party of Kenya,Q6943975,Kitui East Constituency,2017-08-31,,,Q47494489-BF3F9F13-9503-4E17-B71A-3C763CCC6196
Q47494723,Omar Mohamed Maalim Hassan,Q42954840,Economic Freedom Party,Q6747984,Mandera East Constituency,2017-08-31,,,Q47494723-B103AE5E-5191-45AF-8C6F-03ADEBA022C0
Q47493923,Omar Mwinyi,Q1640905,ODM,Q5071716,Changamwe Constituency,2017-08-31,,2022-04-06,Q47493923-CBE5671F-1A1E-4CC6-A30A-DAB36F76040B
Q47493992,Onesmas Ngunjiri,Q27963537,Jubilee Party of Kenya,Q45390855,Bahati,2017-08-31,,2022-04-06,Q47493992-CEBB0084-7C40-4186-BC07-A0336A4C69F2
Q47494377,Oscar Sudi,Q27963537,Jubilee Party of Kenya,Q47463439,Kapseret Constituency,2017-08-31,,2022-04-06,Q47494377-6E96C102-CE7C-43A6-943A-4C67DF01958B
Q47494435,Owen Yaa Baya,Q1640905,ODM,Q18388215,Kilifi North Constituency,2017-08-31,,,Q47494435-9733A293-570A-4CC0-9125-250741DF4CA8
Q47490059,Pamela Awuor Ochieng,Q1640905,ODM,Q429955,Migori County,2017-08-31,,,Q47490059-76480C71-1FB8-4972-8A84-00E6FE4DE4AF
Q47494641,Patrick Kariuki Mariru,Q27963537,Jubilee Party of Kenya,Q6473834,Laikipia West Constituency,2017-08-31,,,Q47494641-8DB8D5EE-11F2-4DCD-9B39-2504CCAD3A8F
Q47495130,Patrick Kimani Wainaina Jungle,Q327591,IND,Q47463425,Thika Town Constituency,2017-08-31,,,Q47495130-481E766B-4A32-4AC7-9355-2D96212D9499
Q47494776,Patrick Makau King'ola,Q5251223,WDM-K,Q47463421,Mavoko Constituency,2017-08-31,,,Q47494776-CAD99A08-8CCB-4EB1-B0A2-8BFB9635A8DE
Q47494231,Patrick Munene Ntwiga,Q27963537,Jubilee Party of Kenya,Q47463418,Chuka/Igambang'ombe Constituency,2017-08-31,,,Q47494231-00ADE33D-D0C0-4BC0-A946-97DE9CB46E55
Q47494421,Patrick Mweu Musimba,Q327591,IND,Q47463422,Kibwezi West Constituency,2017-08-31,,,Q47494421-59C79A8E-9741-4E46-8ADC-A3AFFA8B0E1E
Q47494955,Paul Abuor,Q1640905,ODM,Q7365633,Rongo Constituency,2017-08-31,,2022-04-06,Q47494955-F3C73A9A-7532-4B11-A366-F24E7B0AB656
Q47494361,Paul Kahindi Katana,Q1640905,ODM,Q13123143,Kaloleni Constituency,2017-08-31,,,Q47494361-7E80E863-DD12-4782-91D5-57B212DEC546
Q47494404,Paul Koinange,Q27963537,Jubilee Party of Kenya,Q6403727,Kiambaa Constituency,2017-08-31,2021-03-31,,Q47494404-A4A5D973-600A-4B07-A210-97F838C69DE5
Q47494839,Paul Musyimi Nzengu,Q5251223,WDM-K,Q6944742,Mwingi North Constituency,2017-08-31,,,Q47494839-3E23934F-0306-4CDC-AB8D-9C411CB58A30
Q47493974,Paul Simba Arati,Q1640905,ODM,Q17048596,Dagoretti North Constituency,2017-08-31,,,Q47493974-642C71FB-2A57-4F25-83E8-C5471C1BF0F2
Q16886147,Peris Pesi Tobiko,Q27963537,Jubilee Party of Kenya,Q47463454,Kajiado East Constituency,2017-08-31,,2022-04-06,Q16886147-845873A2-3EC5-4083-86E1-812D6E5ED1A4
Q47495101,Peter Francis Masara,Q327591,IND,Q47463480,Suna West Constituency,2017-08-31,,,Q47495101-DA409E69-FC9A-45AC-9953-53C3DFF31ECC
Q47494763,Peter Kimari Kihara,Q27963537,Jubilee Party of Kenya,Q6787280,Mathioya Constituency,2017-08-31,,,Q47494763-DAB913AC-4D1C-4D93-BC94-F6877A990EDC
Q47495001,Peter Lochakapong,Q27963537,Jubilee Party of Kenya,Q7513096,Sigor Constituency,2017-08-31,,,Q47495001-E100383C-B556-43EE-A403-AA8A88B2E471
Q47494675,Peter Mungai Mwathi,Q27963537,Jubilee Party of Kenya,Q10978796,Limuru Constituency,2017-08-31,,,Q47494675-6EE99B51-D53F-4319-A1C9-F8D07374B263
Q47490046,Purity Wangui Ngirici,Q27963537,Jubilee Party of Kenya,Q2230311,Kirinyaga County,2017-08-31,,,Q47490046-2A8A60E7-179F-4161-A264-983EB34D7926
Q47494803,Qalicha Gufu Wario,Q27963537,Jubilee Party of Kenya,Q6927587,Moyale Constituency,2017-08-31,,,Q47494803-9242068B-7578-4B8A-9F74-2CAFE5D512C5
Q47494506,Rachael Kaki Nyamai,Q27963537,Jubilee Party of Kenya,Q6418636,Kitui South Constituency,2017-08-31,,,Q47494506-FAF3567C-4C5F-4854-BC3C-D12F2AC19328
Q47490068,Rahab Mukami Wachira,Q27963537,Jubilee Party of Kenya,Q749665,Nyeri County,2017-08-31,,,Q47490068-4362159A-5124-4EE4-AD15-5742F5121D55
Q47494205,Raphael Bitta Sauti Wanjala,Q1640905,ODM,Q4984030,Budalangi Constituency,2017-08-31,,,Q47494205-5AB86859-A2D4-43B0-BD13-940C575FA297
Q47495181,Rashid Kassim Amin,Q5251223,WDM-K,Q7960716,Wajir East Constituency,2017-08-31,,,Q47495181-12EC42F5-ABC4-4861-9D14-8E00D0A06F37
Q47490038,Rehema Dida Jaldesa,Q27963537,Jubilee Party of Kenya,Q1499046,Isiolo County,2017-08-31,,,Q47490038-B17BBDAD-C3D5-444E-94EB-E8A4B09BB1B8
Q47490073,Rehema Hassan,Q47489396,Maendeleo Chap Chap Party,Q383150,Tana River County,2017-08-31,,,Q47490073-EC280EAF-2087-4EF5-A7D9-C1CF49C71BF6
