@@,item,name,party,partylabel,constituency,constituencylabel,psid
->,Q16730543,Philip Kaloki,Q5251223,WDM-K->ODM K,Q6404097,Kibwezi,Q16730543-2F71FA25-CB95-4A1C-8D2A-2A878ED19AEB
->,Q7327862,Richard Momoima,Q22666200,Peoples Democratic Party->PDP,Q6418658,Kitutu Chache,Q7327862-EBA19242-E962-4559-A227-870630685F9F
->,Q111188337,Samuel Gonzi Rai,,NULL->FORD P,Q6410376,Kinango,Q111188337-A811E392-6C4D-4F6C-9F4E-2FC48D1C3E8A
->,Q16734594,Samuel Poghisio,Q5251223,WDM-K->ODM K,Q6344643,Kacheliba,Q16734594-C85DAEF0-BAA8-4ABD-97E1-731D7E7BF1F2
->,Q7425832,Sasura Hussein Tarry,Q5251223,WDM-K->ODM K,Q7403129,Saku,Q7425832-C9D20B02-10B2-4A5F-9641-C29A5EB720D1
->,Q7514201,Silas Muriuki,,NULL->Mazingira,Q7055691,North Imenti,Q7514201-0A5B4AEA-8BB0-4155-83BF-D38D3170C8B9
->,Q7555005,Soita Shitanda,,NULL->NEW FORD KENYA,Q6741420,Malava,Q7555005-5F8F824F-C144-4357-B2D4-CDA340FCE6CE
---,Q111190513,Suleiman Masoud,,,,,Q111190513-6797C0F5-FA44-4694-864E-B74A18922E03
---,Q7809140,Tiras Nyingi Ngahu,,,,,Q7809140-5BF3DEBC-5071-4D41-BFCA-EA84833A297C
->,Q7926175,Victor Munyaka,Q5251223,WDM-K->ODM K,Q13123147,Machakos Town,Q7926175-617BE8F1-AFE7-4F0E-A832-EE16EDE1F510
->,Q111189741,Walter Enock Nyambati Osebe,,NULL->NLP,Q6418659,Kitutu Masaba,Q111189741-67715546-1BAE-48DD-84BE-C9D8DCDEA10E
->,Q8001838,Wilfred Gisuka Machage,Q3272441,Democratic Party->DP,Q6445965,Kuria,Q8001838-3E90D02A-DF6D-4671-B5E9-001830289CFA
---,Q8013849,William Kabogo Gitau,,,,,Q8013849-83A5D26F-F32D-4D19-9C24-503DE3AB07AE
